n_nodes,n_edges,density,replication,attack_limit,interdiction_penalty,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time
30,120,4.0,3,2,1,14.0,13,0.07142857142857142,4,0,116,2,2,0.01148197054862976,0.01437381748110056,0.0009347619488835335
30,120,4.0,4,2,1,11.0,10,0.09090909090909091,2,0,118,2,2,0.009971506893634796,0.012976453639566898,0.0009163618087768555
30,120,4.0,5,2,1,14.0,14,0.0,2,0,118,2,2,0.014344807714223862,0.01728473510593176,0.0009591523557901382
30,120,4.0,6,2,1,14.0,13,0.07142857142857142,4,0,116,2,2,0.012108852155506611,0.015076559968292713,0.0009394632652401924
30,120,4.0,7,2,1,8.0,8,0.0,0,1,120,2,2,0.010942098684608936,0.013864667154848576,0.0009174821898341179
30,120,4.0,8,2,1,18.0,17,0.05555555555555555,2,0,118,2,2,0.008690563030540943,0.011690241284668446,0.0008005620911717415
30,120,4.0,9,2,1,9.0,9,0.0,0,1,120,2,2,0.009766725823283195,0.012603823095560074,0.0008838223293423653
30,120,4.0,10,2,1,9.0,8,0.1111111111111111,2,0,118,2,2,0.012118051759898663,0.015045720152556896,0.0009234622120857239
30,120,4.0,11,2,1,7.0,6,0.14285714285714285,2,0,118,2,2,0.011249530129134655,0.01417404692620039,0.0009144525974988937
30,120,4.0,12,2,1,12.0,11,0.08333333333333333,2,0,118,2,2,0.01014871709048748,0.013145843520760536,0.0009129121899604797
30,120,4.0,13,2,1,5.0,4,0.2,2,0,118,2,2,0.010321137495338917,0.013238154351711273,0.0009098323062062263
30,120,4.0,14,2,1,19.0,18,0.05263157894736842,2,0,118,2,2,0.012137911282479763,0.015064320527017117,0.000925951637327671
30,120,4.0,15,2,1,12.0,12,0.0,4,0,116,2,2,0.008295521140098572,0.01121499016880989,0.0008092820644378662
30,120,4.0,16,2,1,9.0,8,0.1111111111111111,2,0,118,2,2,0.010748108848929405,0.013663745485246181,0.0009012436494231224
30,120,4.0,17,2,1,7.0,6,0.14285714285714285,2,0,118,2,2,0.010499057359993458,0.013412064872682095,0.0008946722373366356
30,120,4.0,18,2,1,13.0,11,0.15384615384615385,4,0,116,2,2,0.012371692806482315,0.01530156098306179,0.0009354827925562859
30,120,4.0,19,2,1,16.0,16,0.0,2,0,118,2,2,0.009103904478251934,0.012004461139440536,0.0008533922955393791
50,125,2.5,0,2,1,28.0,27,0.03571428571428571,2,0,123,2,2,0.011436570435762405,0.014477638527750969,0.0009300336241722107
50,125,2.5,1,2,1,24.0,23,0.041666666666666664,4,0,121,2,2,0.3430046243593097,0.34611006267368793,0.0010244827717542648
50,125,2.5,2,2,1,29.0,28,0.034482758620689655,4,0,121,2,2,0.011590731330215931,0.014760498888790607,0.000948052853345871
50,125,2.5,3,2,1,9.0,9,0.0,0,1,125,2,2,0.011540730483829975,0.014676928520202637,0.000937262549996376
50,125,2.5,4,2,1,26.0,25,0.038461538461538464,4,0,121,2,2,0.011855111457407475,0.014936360530555248,0.0009470516815781593
50,125,2.5,5,2,1,19.0,18,0.05263157894736842,2,0,123,2,2,0.01159066054970026,0.01469952892512083,0.0009267320856451988
50,125,2.5,6,2,1,25.0,23,0.08,4,0,121,2,2,0.011389879509806633,0.014451658353209496,0.0009491126984357834
50,125,2.5,7,2,1,10.0,10,0.0,0,1,125,2,2,0.01226345170289278,0.015352140180766582,0.0009363312274217606
50,125,2.5,8,2,1,28.0,28,0.0,4,0,121,2,2,0.01183606032282114,0.01492431852966547,0.0009368928149342537
50,125,2.5,9,2,1,19.0,18,0.05263157894736842,4,0,121,2,2,0.009224925190210342,0.01232142187654972,0.0008293921127915382
50,125,2.5,10,2,1,9.0,8,0.1111111111111111,2,0,123,2,2,0.011422551237046719,0.014448207803070545,0.0009161829948425293
50,125,2.5,11,2,1,25.0,23,0.08,4,0,121,2,2,0.011767121031880379,0.014832829125225544,0.0009391121566295624
50,125,2.5,12,2,1,31.0,30,0.03225806451612903,2,0,123,2,2,0.011924352496862411,0.015047830529510975,0.0009113028645515442
