n_nodes,n_edges,density,replication,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time
150,375,2.5,11,2,14.0,14,0.0,2,0,1,2,2,0.02167253301013261,0.029695681994780898,0.0023208330385386944
150,375,2.5,12,2,49.0,45,0.08163265306122448,4,0,0,2,2,0.04383250395767391,0.05192426301073283,0.0023983940482139587
150,375,2.5,13,2,26.0,20,0.23076923076923078,2,0,1,2,2,0.026552580064162612,0.03462640906218439,0.0023424940882250667
150,375,2.5,14,2,32.0,31,0.03125,4,0,0,2,2,0.6404980099759996,0.6485628890804946,0.002403424005024135
150,375,2.5,15,2,25.0,14,0.44,4,0,0,2,2,0.036642103106714785,0.04478247102815658,0.002351582981646061
150,375,2.5,16,2,45.0,38,0.15555555555555556,2,0,1,2,2,0.03882342798169702,0.04689184692688286,0.0023961729602888227
150,375,2.5,17,2,43.0,34,0.20930232558139536,2,0,1,2,2,0.025761742028407753,0.03394747001584619,0.002368093002587557
150,375,2.5,18,2,39.0,39,0.0,0,1,2,2,2,0.05379561800509691,0.06182680604979396,0.0023746140068396926
150,375,2.5,19,2,51.0,51,0.0,0,1,2,2,2,0.03881344792898744,0.04687750595621765,0.002376933000050485
150,600,4.0,0,2,36.0,36,0.0,0,1,2,2,2,0.07295662700198591,0.08526277495548129,0.0024306930135935545
150,600,4.0,1,2,23.0,20,0.13043478260869565,2,0,1,2,2,0.0384494480676949,0.050976105965673923,0.0023881529923528433
150,600,4.0,2,2,22.0,20,0.09090909090909091,2,0,1,2,2,0.11116682703141123,0.1962875120807439,0.0023867340059950948
150,600,4.0,3,2,32.0,30,0.0625,2,0,1,2,2,0.7683698029723018,0.7808213899843395,0.0024135939311236143
150,600,4.0,4,2,28.0,24,0.14285714285714285,2,0,1,2,2,0.03891024796757847,0.05108064494561404,0.002376224030740559
150,600,4.0,5,2,24.0,17,0.2916666666666667,4,0,0,2,2,0.6955769050400704,0.7080631420249119,0.0023890540469437838
150,600,4.0,6,2,28.0,28,0.0,2,0,1,2,2,0.5691263590706512,0.5818230049917474,0.00250078400131315
150,600,4.0,7,2,21.0,19,0.09523809523809523,2,0,1,2,2,0.6790372290415689,0.6916251250077039,0.0024226739769801497
150,600,4.0,8,2,27.0,24,0.1111111111111111,4,0,0,2,2,0.11054560809861869,0.12290640594437718,0.002392902970314026
150,600,4.0,9,2,23.0,20,0.13043478260869565,2,0,1,2,2,0.10135912289842963,0.11379355902317911,0.0023975440999493003
150,600,4.0,10,2,20.0,14,0.3,4,0,0,2,2,0.7018663589842618,0.7147043240256608,0.0023810139391571283
150,600,4.0,11,2,17.0,16,0.058823529411764705,4,0,0,2,2,0.10073699499480426,0.11350614007096738,0.0023808239493519068
150,600,4.0,12,2,14.0,14,0.0,2,0,1,2,2,0.06068570993375033,0.07327904703561217,0.002359142992645502
150,600,4.0,13,2,28.0,25,0.10714285714285714,4,0,0,2,2,0.6262083080364391,0.6386894950410351,0.0023654140532016754
150,600,4.0,14,2,21.0,18,0.14285714285714285,4,0,0,2,2,0.21375202608760446,0.22574522392824292,0.002402603975497186
150,600,4.0,15,2,17.0,16,0.058823529411764705,4,0,0,2,2,0.9276057430543005,0.9401411190629005,0.002369484049268067
150,600,4.0,16,2,26.0,21,0.19230769230769232,4,0,0,2,2,0.11965472402516752,0.13215554098132998,0.0023659139405936003
150,600,4.0,17,2,28.0,24,0.14285714285714285,2,0,1,2,2,0.07295282697305083,0.08516826503910124,0.0023822439834475517
150,600,4.0,18,2,15.0,14,0.06666666666666667,4,0,0,2,2,0.08192585408687592,0.09463344002142549,0.002388763939961791
150,600,4.0,19,2,11.0,3,0.7272727272727273,4,0,0,2,2,0.04074338206555694,0.05437316698953509,0.002745042904280126
200,500,2.5,0,2,32.0,32,0.0,0,1,2,2,2,0.13783824699930847,0.14912503701634705,0.002391754067502916
200,500,2.5,1,2,39.0,34,0.1282051282051282,2,0,1,2,2,0.6427292949520051,0.653605765895918,0.0023971139453351498
200,500,2.5,2,2,35.0,32,0.08571428571428572,4,0,0,2,2,0.09762099198997021,0.10844419407658279,0.002390714013017714
200,500,2.5,3,2,31.0,26,0.16129032258064516,2,0,1,2,2,0.03411536000203341,0.04486492101568729,0.0023893730249255896
200,500,2.5,4,2,28.0,26,0.07142857142857142,2,0,1,2,2,0.034808477968908846,0.04574042896274477,0.002371983020566404
200,500,2.5,5,2,36.0,35,0.027777777777777776,4,0,0,2,2,0.7291197059676051,0.7397486080881208,0.002395892981439829
200,500,2.5,6,2,53.0,53,0.0,0,1,2,2,2,0.4325670290272683,0.44339347002096474,0.0023795239394530654
200,500,2.5,7,2,28.0,23,0.17857142857142858,2,0,1,2,2,0.07702764705754817,0.0877035380108282,0.0023986329324543476
200,500,2.5,8,2,37.0,27,0.2702702702702703,2,0,1,2,2,0.05632823193445802,0.13947243196889758,0.002392574097029865
200,500,2.5,9,2,29.0,26,0.10344827586206896,4,0,0,2,2,0.3645049789920449,0.37502734106965363,0.0023757839808240533
200,500,2.5,10,2,41.0,34,0.17073170731707318,4,0,0,2,2,0.08918739506043494,0.0999776660464704,0.0023851629812270403
200,500,2.5,11,2,26.0,26,0.0,2,0,1,2,2,0.5196893180254847,0.5306771090254188,0.0023778739850968122
200,500,2.5,12,2,69.0,69,0.0,0,1,2,2,2,0.05174840393010527,0.06239275599364191,0.0024335740599781275
200,500,2.5,13,2,32.0,18,0.4375,4,0,0,2,2,0.04653321800287813,0.057476288988254964,0.002382103935815394
200,500,2.5,14,2,36.0,32,0.1111111111111111,2,0,1,2,2,0.32956936093978584,0.3405618719989434,0.002369344001635909
200,500,2.5,15,2,32.0,23,0.28125,4,0,0,2,2,0.572868018061854,0.5836040999274701,0.00237455393653363
200,500,2.5,16,2,43.0,37,0.13953488372093023,2,0,1,2,2,0.057378007913939655,0.06822351005394012,0.002371573937125504
