model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges,evaluation_type,training_set
tropical,shortest_path,id_new,,,,,3012016.0,30,120,4.0,11.0,0,29,,,1,16.0,15.0,0.0625,2,0,0,1,1,0.0278312480077147,0.0320161012932658,0.0018998309969902,16.0,0.0,5,5,0.0009825509041547,0.0028823819011449,0,2,0,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3012017.0,30,120,4.0,12.0,0,29,,,1,18.0,17.0,0.0555555555555555,2,0,0,1,1,0.0272311465814709,0.0331498812884092,0.0019888207316398,18.0,0.0,5,5,0.0009929211810231,0.0029817419126629,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3012018.0,30,120,4.0,13.0,0,29,,,1,19.0,19.0,0.0,2,0,0,1,1,0.0377756441012024,0.0420147869735956,0.0019174721091985,19.0,0.0,5,5,0.0010602511465549,0.0029777232557535,0,2,0,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3012019.0,30,120,4.0,14.0,0,29,,,1,23.0,23.0,0.0,0,1,1,1,1,0.028173929080367,0.0324402609840035,0.0018946211785078,23.0,0.0,5,5,0.0010244911536574,0.0029191123321652,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3012020.0,30,120,4.0,15.0,0,29,,,1,14.0,14.0,0.0,0,1,1,1,1,0.0283764079213142,0.034278841689229,0.0020219208672642,14.0,0.0,5,5,0.0009543607011437,0.002976281568408,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3012021.0,30,120,4.0,16.0,0,29,,,1,10.0,8.0,0.2,2,0,0,1,1,0.0273616481572389,0.0315657304599881,0.0018969317898154,10.0,0.0,5,5,0.0009734593331813,0.0028703911229968,0,2,0,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3012022.0,30,120,4.0,17.0,0,29,,,1,18.0,18.0,0.0,0,1,1,1,1,0.0290995985269546,0.0333698410540819,0.0019139423966407,18.0,0.0,5,5,0.0009831311181187,0.0028970735147595,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3012023.0,30,120,4.0,18.0,0,29,,,1,11.0,11.0,0.0,0,1,1,1,1,0.0363186839967966,0.0422598170116543,0.0019552605226635,11.0,0.0,5,5,0.0008944999426603,0.0028497604653239,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3012024.0,30,120,4.0,19.0,0,29,,,1,13.0,12.0,0.0769230769230769,2,0,0,1,1,0.0280805984511971,0.0323506211861968,0.0019227908924221,13.0,0.0,5,5,0.0010639810934662,0.0029867719858884,0,2,0,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3018005.0,30,180,6.0,0.0,0,29,,,1,12.0,12.0,0.0,0,1,1,1,1,0.0387434354051947,0.0445471694692969,0.0075633851811289,12.0,0.0,5,5,0.0012843608856201,0.008847746066749,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3018006.0,30,180,6.0,1.0,0,29,,,1,14.0,13.0,0.0714285714285714,2,0,0,1,1,0.0520130926743149,0.0580545980483293,0.0021294914186,14.0,0.0,5,5,0.001379239372909,0.0035087307915091,0,2,0,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3018007.0,30,180,6.0,2.0,0,29,,,1,15.0,14.0,0.0666666666666666,2,0,0,1,1,0.0566814970225095,0.0625086398795247,0.0020371116697788,15.0,0.0,5,5,0.0013690013438463,0.0034061130136251,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3018008.0,30,180,6.0,3.0,0,29,,,1,11.0,10.0,0.0909090909090909,2,0,0,1,1,0.0401925258338451,0.0459253201261162,0.0020003709942102,11.0,0.0,5,5,0.0013451101258397,0.0033454811200499,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3018009.0,30,180,6.0,4.0,0,29,,,1,11.0,11.0,0.0,0,1,1,1,1,0.1468692757189273,0.1527682682499289,0.0022733407095074,11.0,0.0,5,5,0.0012216502800583,0.0034949909895658,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3018010.0,30,180,6.0,5.0,0,29,,,1,3.0,3.0,0.0,0,1,1,1,1,0.0357239730656147,0.0414908463135361,0.0019462006166577,3.0,0.0,5,5,0.0011080214753746,0.0030542220920324,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3018011.0,30,180,6.0,6.0,0,29,,,1,14.0,10.0,0.2857142857142857,2,0,0,1,1,0.0351380929350853,0.0418273769319057,0.0019812323153018,12.0,0.1428571428571428,5,5,0.0014011515304446,0.0033823838457465,0,2,0,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3018012.0,30,180,6.0,7.0,0,29,,,1,15.000000000000004,15.0,2.368475785867e-16,2,0,0,1,1,0.0862755356356501,0.0919851893559098,0.0020016115158796,15.0,2.368475785867e-16,5,5,0.0014055809006094,0.0034071924164891,0,2,0,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3018013.0,30,180,6.0,8.0,0,29,,,1,10.0,9.0,0.1,2,0,0,1,1,0.0499607417732477,0.0568916676566004,0.0020323917269706,10.0,0.0,5,5,0.0012768805027008,0.0033092722296714,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3018014.0,30,180,6.0,9.0,0,29,,,1,9.0,7.0,0.2222222222222222,2,0,0,1,1,0.0386525243520736,0.0443948386237025,0.0020160302519798,9.0,0.0,5,5,0.0013174014165997,0.0033334316685795,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3018015.0,30,180,6.0,10.0,0,29,,,1,8.0,8.0,0.0,0,1,1,1,1,0.0379597442224621,0.0451788194477558,0.0020477408543229,8.0,0.0,5,5,0.0011866698041558,0.0032344106584787,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3018016.0,30,180,6.0,11.0,0,29,,,1,12.0,11.0,0.0833333333333333,2,0,0,1,1,0.0498236017301678,0.055811776779592,0.002042050473392,11.0,0.0833333333333333,5,5,0.0014067208394408,0.0034487713128328,0,2,0,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3018017.0,30,180,6.0,12.0,0,29,,,1,8.0,6.0,0.25,2,0,0,1,1,0.056624156422913,0.0639939112588763,0.0020167725160717,8.0,0.0,5,5,0.0012267604470252,0.003243532963097,0,2,0,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3018018.0,30,180,6.0,13.0,0,29,,,1,12.0,9.0,0.25,2,0,0,1,1,0.0391590846702456,0.0448654890060424,0.0019842516630887,11.0,0.0833333333333333,5,5,0.0013629095628857,0.0033471612259745,0,2,0,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3018019.0,30,180,6.0,14.0,0,29,,,1,8.0,8.0,0.0,0,1,1,1,1,0.0352623527869582,0.0424695275723934,0.0020785219967365,8.0,0.0,5,5,0.0012470707297325,0.003325592726469,1,0,1,id_new,onein_reps100
