Solved n=50, m=125, budget=1, density=2.50, rep=43, flow_demand=1, objective=31.00, mip_solve_time=0.0301
Solved n=50, m=125, budget=1, density=2.50, rep=48, flow_demand=1, objective=47.00, mip_solve_time=0.0310
Solved n=50, m=200, budget=1, density=4.00, rep=0, flow_demand=1, objective=30.00, mip_solve_time=0.0382
Solved n=50, m=200, budget=1, density=4.00, rep=1, flow_demand=1, objective=60.00, mip_solve_time=0.0377
Solved n=50, m=200, budget=1, density=4.00, rep=2, flow_demand=1, objective=44.00, mip_solve_time=0.0534
Solved n=50, m=200, budget=1, density=4.00, rep=3, flow_demand=1, objective=52.00, mip_solve_time=0.0366
Solved n=50, m=200, budget=1, density=4.00, rep=4, flow_demand=1, objective=58.00, mip_solve_time=0.0374
Solved n=50, m=200, budget=1, density=4.00, rep=5, flow_demand=1, objective=41.00, mip_solve_time=0.0363
Solved n=50, m=200, budget=1, density=4.00, rep=6, flow_demand=1, objective=40.00, mip_solve_time=0.0543
Solved n=50, m=200, budget=1, density=4.00, rep=7, flow_demand=1, objective=28.00, mip_solve_time=0.0371
Solved n=50, m=200, budget=1, density=4.00, rep=8, flow_demand=1, objective=28.00, mip_solve_time=0.0377
Solved n=50, m=200, budget=1, density=4.00, rep=9, flow_demand=1, objective=53.00, mip_solve_time=0.0529
Solved n=50, m=200, budget=1, density=4.00, rep=10, flow_demand=1, objective=22.00, mip_solve_time=0.0551
Solved n=50, m=200, budget=1, density=4.00, rep=11, flow_demand=1, objective=33.00, mip_solve_time=0.0373
Solved n=50, m=200, budget=1, density=4.00, rep=12, flow_demand=1, objective=43.00, mip_solve_time=0.0364
Solved n=50, m=200, budget=1, density=4.00, rep=13, flow_demand=1, objective=46.00, mip_solve_time=0.0522
Solved n=50, m=200, budget=1, density=4.00, rep=14, flow_demand=1, objective=45.00, mip_solve_time=0.0363
Solved n=50, m=200, budget=1, density=4.00, rep=15, flow_demand=1, objective=44.00, mip_solve_time=0.0367
Solved n=50, m=200, budget=1, density=4.00, rep=16, flow_demand=1, objective=52.00, mip_solve_time=0.0376
Solved n=50, m=200, budget=1, density=4.00, rep=17, flow_demand=1, objective=31.00, mip_solve_time=0.0375
Solved n=50, m=200, budget=1, density=4.00, rep=18, flow_demand=1, objective=50.00, mip_solve_time=0.0365
Solved n=50, m=200, budget=1, density=4.00, rep=19, flow_demand=1, objective=58.00, mip_solve_time=0.0371
Solved n=50, m=200, budget=1, density=4.00, rep=20, flow_demand=1, objective=24.00, mip_solve_time=0.0386
Solved n=50, m=200, budget=1, density=4.00, rep=21, flow_demand=1, objective=39.00, mip_solve_time=0.0372
Solved n=50, m=200, budget=1, density=4.00, rep=22, flow_demand=1, objective=56.00, mip_solve_time=0.0533
Solved n=50, m=200, budget=1, density=4.00, rep=23, flow_demand=1, objective=40.00, mip_solve_time=0.0365
Solved n=50, m=200, budget=1, density=4.00, rep=24, flow_demand=1, objective=26.00, mip_solve_time=0.0382
Solved n=50, m=200, budget=1, density=4.00, rep=25, flow_demand=1, objective=22.00, mip_solve_time=0.0553
Solved n=50, m=200, budget=1, density=4.00, rep=26, flow_demand=1, objective=46.00, mip_solve_time=0.0368
Solved n=50, m=200, budget=1, density=4.00, rep=27, flow_demand=1, objective=29.00, mip_solve_time=0.0547
Solved n=50, m=200, budget=1, density=4.00, rep=28, flow_demand=1, objective=70.00, mip_solve_time=0.0374
Solved n=50, m=200, budget=1, density=4.00, rep=29, flow_demand=1, objective=42.00, mip_solve_time=0.0366
Solved n=50, m=200, budget=1, density=4.00, rep=30, flow_demand=1, objective=32.00, mip_solve_time=0.0487
Solved n=50, m=200, budget=1, density=4.00, rep=31, flow_demand=1, objective=41.00, mip_solve_time=0.0373
Solved n=50, m=200, budget=1, density=4.00, rep=32, flow_demand=1, objective=55.00, mip_solve_time=0.0377
Solved n=50, m=200, budget=1, density=4.00, rep=33, flow_demand=1, objective=42.00, mip_solve_time=0.0359
Solved n=50, m=200, budget=1, density=4.00, rep=34, flow_demand=1, objective=51.00, mip_solve_time=0.0370
Solved n=50, m=200, budget=1, density=4.00, rep=35, flow_demand=1, objective=47.00, mip_solve_time=0.0547
Solved n=50, m=200, budget=1, density=4.00, rep=36, flow_demand=1, objective=53.00, mip_solve_time=0.0377
Solved n=50, m=200, budget=1, density=4.00, rep=37, flow_demand=1, objective=11.00, mip_solve_time=0.0363
Solved n=50, m=200, budget=1, density=4.00, rep=38, flow_demand=1, objective=39.00, mip_solve_time=0.0549
Solved n=50, m=200, budget=1, density=4.00, rep=39, flow_demand=1, objective=38.00, mip_solve_time=0.0374
Solved n=50, m=200, budget=1, density=4.00, rep=40, flow_demand=1, objective=30.00, mip_solve_time=0.0365
Solved n=50, m=200, budget=1, density=4.00, rep=41, flow_demand=1, objective=29.00, mip_solve_time=0.0545
Solved n=50, m=200, budget=1, density=4.00, rep=42, flow_demand=1, objective=43.00, mip_solve_time=0.0364
Solved n=50, m=200, budget=1, density=4.00, rep=43, flow_demand=1, objective=49.00, mip_solve_time=0.0361
Solved n=50, m=200, budget=1, density=4.00, rep=44, flow_demand=1, objective=43.00, mip_solve_time=0.0367
Solved n=50, m=200, budget=1, density=4.00, rep=45, flow_demand=1, objective=31.00, mip_solve_time=0.0505
Solved n=50, m=200, budget=1, density=4.00, rep=46, flow_demand=1, objective=27.00, mip_solve_time=0.0552
Solved n=50, m=200, budget=1, density=4.00, rep=47, flow_demand=1, objective=48.00, mip_solve_time=0.0379
Solved n=50, m=200, budget=1, density=4.00, rep=48, flow_demand=1, objective=38.00, mip_solve_time=0.0369
Solved n=50, m=200, budget=1, density=4.00, rep=49, flow_demand=1, objective=31.00, mip_solve_time=0.0362
Solved n=50, m=300, budget=1, density=6.00, rep=0, flow_demand=1, objective=41.00, mip_solve_time=0.0771
Solved n=50, m=300, budget=1, density=6.00, rep=1, flow_demand=1, objective=65.00, mip_solve_time=0.0734
Solved n=50, m=300, budget=1, density=6.00, rep=2, flow_demand=1, objective=71.00, mip_solve_time=0.0561
Solved n=50, m=300, budget=1, density=6.00, rep=3, flow_demand=1, objective=46.00, mip_solve_time=0.0563
Solved n=50, m=300, budget=1, density=6.00, rep=4, flow_demand=1, objective=43.00, mip_solve_time=0.0558
Solved n=50, m=300, budget=1, density=6.00, rep=5, flow_demand=1, objective=58.00, mip_solve_time=0.0566
Solved n=50, m=300, budget=1, density=6.00, rep=6, flow_demand=1, objective=72.00, mip_solve_time=0.0557
Solved n=50, m=300, budget=1, density=6.00, rep=7, flow_demand=1, objective=63.00, mip_solve_time=0.0556
Solved n=50, m=300, budget=1, density=6.00, rep=8, flow_demand=1, objective=46.00, mip_solve_time=0.0566
Solved n=50, m=300, budget=1, density=6.00, rep=9, flow_demand=1, objective=30.00, mip_solve_time=0.0587
Solved n=50, m=300, budget=1, density=6.00, rep=10, flow_demand=1, objective=23.00, mip_solve_time=0.0639
Solved n=50, m=300, budget=1, density=6.00, rep=11, flow_demand=1, objective=49.00, mip_solve_time=0.0554
Solved n=50, m=300, budget=1, density=6.00, rep=12, flow_demand=1, objective=37.00, mip_solve_time=0.0981
Solved n=50, m=300, budget=1, density=6.00, rep=13, flow_demand=1, objective=33.00, mip_solve_time=0.0576
Solved n=50, m=300, budget=1, density=6.00, rep=14, flow_demand=1, objective=59.00, mip_solve_time=0.0978
Solved n=50, m=300, budget=1, density=6.00, rep=15, flow_demand=1, objective=23.00, mip_solve_time=0.0606
Solved n=50, m=300, budget=1, density=6.00, rep=16, flow_demand=1, objective=27.00, mip_solve_time=0.0599
Solved n=50, m=300, budget=1, density=6.00, rep=17, flow_demand=1, objective=79.00, mip_solve_time=0.0945
Solved n=50, m=300, budget=1, density=6.00, rep=18, flow_demand=1, objective=54.00, mip_solve_time=0.0560
Solved n=50, m=300, budget=1, density=6.00, rep=19, flow_demand=1, objective=77.00, mip_solve_time=0.0910
Solved n=50, m=300, budget=1, density=6.00, rep=20, flow_demand=1, objective=75.00, mip_solve_time=0.0561
Solved n=50, m=300, budget=1, density=6.00, rep=21, flow_demand=1, objective=38.00, mip_solve_time=0.0564
Solved n=50, m=300, budget=1, density=6.00, rep=22, flow_demand=1, objective=55.00, mip_solve_time=0.0565
Solved n=50, m=300, budget=1, density=6.00, rep=23, flow_demand=1, objective=53.00, mip_solve_time=0.0553
