
Evaluating attack limit K=1
K=1, n=100, m=200, rep=0 | Opt=57.00 | Pred=47.00 | Gap=0.1754 | Hamming=2 | Exact=0
K=1, n=600, m=1500, rep=19 | Opt=34.00 | Pred=30.00 | Gap=0.1176 | Hamming=2 | Exact=0
K=1, n=600, m=1800, rep=0 | Opt=8.00 | Pred=6.00 | Gap=0.2500 | Hamming=2 | Exact=0
K=1, n=600, m=1800, rep=1 | Opt=24.00 | Pred=16.00 | Gap=0.3333 | Hamming=2 | Exact=0
K=1, n=600, m=1800, rep=2 | Opt=46.00 | Pred=38.00 | Gap=0.1739 | Hamming=2 | Exact=0
K=1, n=600, m=1800, rep=3 | Opt=32.00 | Pred=28.00 | Gap=0.1250 | Hamming=2 | Exact=0
K=1, n=600, m=1800, rep=4 | Opt=33.00 | Pred=29.00 | Gap=0.1212 | Hamming=2 | Exact=0
K=1, n=600, m=1800, rep=5 | Opt=46.00 | Pred=44.00 | Gap=0.0435 | Hamming=2 | Exact=0
K=1, n=600, m=1800, rep=6 | Opt=41.00 | Pred=41.00 | Gap=0.0000 | Hamming=2 | Exact=0
K=1, n=600, m=1800, rep=7 | Opt=36.00 | Pred=30.00 | Gap=0.1667 | Hamming=2 | Exact=0
K=1, n=600, m=1800, rep=8 | Opt=34.00 | Pred=31.00 | Gap=0.0882 | Hamming=2 | Exact=0
K=1, n=600, m=1800, rep=9 | Opt=30.00 | Pred=26.00 | Gap=0.1333 | Hamming=2 | Exact=0
K=1, n=600, m=1800, rep=10 | Opt=20.00 | Pred=18.00 | Gap=0.1000 | Hamming=2 | Exact=0
K=1, n=600, m=1800, rep=11 | Opt=27.00 | Pred=27.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=600, m=1800, rep=12 | Opt=22.00 | Pred=13.00 | Gap=0.4091 | Hamming=2 | Exact=0
K=1, n=600, m=1800, rep=13 | Opt=41.00 | Pred=35.00 | Gap=0.1463 | Hamming=2 | Exact=0
K=1, n=600, m=1800, rep=14 | Opt=35.00 | Pred=32.00 | Gap=0.0857 | Hamming=2 | Exact=0
K=1, n=600, m=1800, rep=15 | Opt=26.00 | Pred=26.00 | Gap=0.0000 | Hamming=1 | Exact=0
K=1, n=600, m=1800, rep=16 | Opt=33.00 | Pred=32.00 | Gap=0.0303 | Hamming=2 | Exact=0
K=1, n=600, m=1800, rep=17 | Opt=34.00 | Pred=34.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=600, m=1800, rep=18 | Opt=30.00 | Pred=27.00 | Gap=0.1000 | Hamming=2 | Exact=0
K=1, n=600, m=1800, rep=19 | Opt=25.00 | Pred=21.00 | Gap=0.1600 | Hamming=2 | Exact=0
K=1, n=600, m=2400, rep=0 | Opt=30.00 | Pred=22.00 | Gap=0.2667 | Hamming=2 | Exact=0
K=1, n=600, m=2400, rep=1 | Opt=19.00 | Pred=19.00 | Gap=0.0000 | Hamming=2 | Exact=0
K=1, n=600, m=2400, rep=2 | Opt=25.00 | Pred=22.00 | Gap=0.1200 | Hamming=2 | Exact=0
K=1, n=600, m=2400, rep=3 | Opt=18.00 | Pred=12.00 | Gap=0.3333 | Hamming=2 | Exact=0
K=1, n=600, m=2400, rep=4 | Opt=30.00 | Pred=29.00 | Gap=0.0333 | Hamming=2 | Exact=0
K=1, n=600, m=2400, rep=5 | Opt=20.00 | Pred=20.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=600, m=2400, rep=6 | Opt=22.00 | Pred=22.00 | Gap=0.0000 | Hamming=1 | Exact=0
K=1, n=600, m=2400, rep=7 | Opt=23.00 | Pred=19.00 | Gap=0.1739 | Hamming=2 | Exact=0
K=1, n=600, m=2400, rep=8 | Opt=27.00 | Pred=24.00 | Gap=0.1111 | Hamming=2 | Exact=0
K=1, n=600, m=2400, rep=9 | Opt=21.00 | Pred=19.00 | Gap=0.0952 | Hamming=2 | Exact=0
K=1, n=600, m=2400, rep=10 | Opt=37.00 | Pred=28.00 | Gap=0.2432 | Hamming=2 | Exact=0
K=1, n=600, m=2400, rep=11 | Opt=35.00 | Pred=35.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=600, m=2400, rep=12 | Opt=26.00 | Pred=18.00 | Gap=0.3077 | Hamming=2 | Exact=0
K=1, n=600, m=2400, rep=13 | Opt=34.00 | Pred=27.00 | Gap=0.2059 | Hamming=2 | Exact=0
K=1, n=600, m=2400, rep=14 | Opt=22.00 | Pred=21.00 | Gap=0.0455 | Hamming=2 | Exact=0
K=1, n=600, m=2400, rep=15 | Opt=19.00 | Pred=18.00 | Gap=0.0526 | Hamming=2 | Exact=0
K=1, n=600, m=2400, rep=16 | Opt=24.00 | Pred=23.00 | Gap=0.0417 | Hamming=2 | Exact=0
K=1, n=600, m=2400, rep=17 | Opt=21.00 | Pred=21.00 | Gap=0.0000 | Hamming=2 | Exact=0
K=1, n=600, m=2400, rep=18 | Opt=27.00 | Pred=19.00 | Gap=0.2963 | Hamming=2 | Exact=0
K=1, n=600, m=2400, rep=19 | Opt=19.00 | Pred=15.00 | Gap=0.2105 | Hamming=2 | Exact=0
K=1, n=600, m=3000, rep=0 | Opt=14.00 | Pred=14.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=600, m=3000, rep=1 | Opt=19.00 | Pred=14.00 | Gap=0.2632 | Hamming=2 | Exact=0
K=1, n=600, m=3000, rep=2 | Opt=18.00 | Pred=18.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=600, m=3000, rep=3 | Opt=27.00 | Pred=26.00 | Gap=0.0370 | Hamming=2 | Exact=0
K=1, n=600, m=3000, rep=4 | Opt=16.00 | Pred=13.00 | Gap=0.1875 | Hamming=2 | Exact=0
K=1, n=600, m=3000, rep=5 | Opt=18.00 | Pred=18.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=600, m=3000, rep=6 | Opt=21.00 | Pred=21.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=600, m=3000, rep=7 | Opt=23.00 | Pred=20.00 | Gap=0.1304 | Hamming=2 | Exact=0
K=1, n=600, m=3000, rep=8 | Opt=11.00 | Pred=8.00 | Gap=0.2727 | Hamming=2 | Exact=0
K=1, n=600, m=3000, rep=9 | Opt=23.00 | Pred=20.00 | Gap=0.1304 | Hamming=2 | Exact=0
K=1, n=600, m=3000, rep=10 | Opt=21.00 | Pred=21.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=600, m=3000, rep=11 | Opt=23.00 | Pred=23.00 | Gap=0.0000 | Hamming=2 | Exact=0
K=1, n=600, m=3000, rep=12 | Opt=28.00 | Pred=24.00 | Gap=0.1429 | Hamming=2 | Exact=0
K=1, n=600, m=3000, rep=13 | Opt=23.00 | Pred=23.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=600, m=3000, rep=14 | Opt=17.00 | Pred=17.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=600, m=3000, rep=15 | Opt=19.00 | Pred=18.00 | Gap=0.0526 | Hamming=2 | Exact=0
K=1, n=600, m=3000, rep=16 | Opt=12.00 | Pred=10.00 | Gap=0.1667 | Hamming=2 | Exact=0
K=1, n=600, m=3000, rep=17 | Opt=14.00 | Pred=13.00 | Gap=0.0714 | Hamming=2 | Exact=0
K=1, n=600, m=3000, rep=18 | Opt=20.00 | Pred=20.00 | Gap=0.0000 | Hamming=2 | Exact=0
K=1, n=600, m=3000, rep=19 | Opt=19.00 | Pred=19.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=600, m=3600, rep=0 | Opt=17.00 | Pred=15.00 | Gap=0.1176 | Hamming=2 | Exact=0
K=1, n=600, m=3600, rep=1 | Opt=17.00 | Pred=10.00 | Gap=0.4118 | Hamming=2 | Exact=0
K=1, n=600, m=3600, rep=2 | Opt=16.00 | Pred=14.00 | Gap=0.1250 | Hamming=2 | Exact=0
K=1, n=600, m=3600, rep=3 | Opt=15.00 | Pred=15.00 | Gap=0.0000 | Hamming=2 | Exact=0
K=1, n=600, m=3600, rep=4 | Opt=18.00 | Pred=15.00 | Gap=0.1667 | Hamming=2 | Exact=0
K=1, n=600, m=3600, rep=5 | Opt=11.00 | Pred=9.00 | Gap=0.1818 | Hamming=2 | Exact=0
K=1, n=600, m=3600, rep=6 | Opt=10.00 | Pred=6.00 | Gap=0.4000 | Hamming=2 | Exact=0
K=1, n=600, m=3600, rep=7 | Opt=28.00 | Pred=26.00 | Gap=0.0714 | Hamming=2 | Exact=0
K=1, n=600, m=3600, rep=8 | Opt=17.00 | Pred=17.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=600, m=3600, rep=9 | Opt=16.00 | Pred=16.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=600, m=3600, rep=10 | Opt=15.00 | Pred=14.00 | Gap=0.0667 | Hamming=2 | Exact=0
K=1, n=600, m=3600, rep=11 | Opt=15.00 | Pred=15.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=600, m=3600, rep=12 | Opt=20.00 | Pred=20.00 | Gap=0.0000 | Hamming=2 | Exact=0
K=1, n=600, m=3600, rep=13 | Opt=17.00 | Pred=17.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=600, m=3600, rep=14 | Opt=21.00 | Pred=19.00 | Gap=0.0952 | Hamming=2 | Exact=0
K=1, n=600, m=3600, rep=15 | Opt=17.00 | Pred=12.00 | Gap=0.2941 | Hamming=2 | Exact=0
K=1, n=600, m=3600, rep=16 | Opt=15.00 | Pred=15.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=600, m=3600, rep=17 | Opt=25.00 | Pred=25.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=600, m=3600, rep=18 | Opt=25.00 | Pred=21.00 | Gap=0.1600 | Hamming=2 | Exact=0
K=1, n=600, m=3600, rep=19 | Opt=16.00 | Pred=11.00 | Gap=0.3125 | Hamming=2 | Exact=0
K=1, n=600, m=4800, rep=0 | Opt=11.00 | Pred=10.00 | Gap=0.0909 | Hamming=2 | Exact=0
K=1, n=600, m=4800, rep=1 | Opt=17.00 | Pred=16.00 | Gap=0.0588 | Hamming=2 | Exact=0
K=1, n=600, m=4800, rep=2 | Opt=15.00 | Pred=15.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=600, m=4800, rep=3 | Opt=17.00 | Pred=17.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=600, m=4800, rep=4 | Opt=14.00 | Pred=13.00 | Gap=0.0714 | Hamming=2 | Exact=0
K=1, n=600, m=4800, rep=5 | Opt=20.00 | Pred=18.00 | Gap=0.1000 | Hamming=2 | Exact=0
K=1, n=600, m=4800, rep=6 | Opt=15.00 | Pred=14.00 | Gap=0.0667 | Hamming=2 | Exact=0
K=1, n=600, m=4800, rep=7 | Opt=12.00 | Pred=12.00 | Gap=0.0000 | Hamming=2 | Exact=0
K=1, n=600, m=4800, rep=8 | Opt=14.00 | Pred=11.00 | Gap=0.2143 | Hamming=2 | Exact=0
K=1, n=600, m=4800, rep=9 | Opt=14.00 | Pred=13.00 | Gap=0.0714 | Hamming=2 | Exact=0
K=1, n=600, m=4800, rep=10 | Opt=13.00 | Pred=11.00 | Gap=0.1538 | Hamming=2 | Exact=0
K=1, n=600, m=4800, rep=11 | Opt=10.00 | Pred=10.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=600, m=4800, rep=12 | Opt=18.00 | Pred=18.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=600, m=4800, rep=13 | Opt=12.00 | Pred=12.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=600, m=4800, rep=14 | Opt=11.00 | Pred=7.00 | Gap=0.3636 | Hamming=2 | Exact=0
K=1, n=600, m=4800, rep=15 | Opt=14.00 | Pred=13.00 | Gap=0.0714 | Hamming=2 | Exact=0
K=1, n=600, m=4800, rep=16 | Opt=13.00 | Pred=8.00 | Gap=0.3846 | Hamming=2 | Exact=0
K=1, n=600, m=4800, rep=17 | Opt=13.00 | Pred=10.00 | Gap=0.2308 | Hamming=2 | Exact=0
K=1, n=600, m=4800, rep=18 | Opt=14.00 | Pred=13.00 | Gap=0.0714 | Hamming=2 | Exact=0
K=1, n=600, m=4800, rep=19 | Opt=12.00 | Pred=11.00 | Gap=0.0833 | Hamming=2 | Exact=0

FINAL TEST RESULTS FOR K=1
Instances evaluated: 560
Exact match rate: 0.2982
Average Hamming distance: 1.3893
Average objective gap: 0.0916
Average MIP solve time: 0.912254 seconds
Average model inference time: 37.435631 seconds

Evaluating attack limit K=2
K=2, n=100, m=200, rep=0 | Opt=66.00 | Pred=47.00 | Gap=0.2879 | Hamming=4 | Exact=0
K=2, n=100, m=200, rep=1 | Opt=22.00 | Pred=14.00 | Gap=0.3636 | Hamming=4 | Exact=0
K=2, n=100, m=200, rep=2 | Opt=42.00 | Pred=34.00 | Gap=0.1905 | Hamming=2 | Exact=0
K=2, n=100, m=200, rep=3 | Opt=45.00 | Pred=35.00 | Gap=0.2222 | Hamming=4 | Exact=0
K=2, n=100, m=200, rep=4 | Opt=32.00 | Pred=28.00 | Gap=0.1250 | Hamming=2 | Exact=0
K=2, n=100, m=200, rep=5 | Opt=37.00 | Pred=34.00 | Gap=0.0811 | Hamming=2 | Exact=0
K=2, n=100, m=200, rep=6 | Opt=42.00 | Pred=32.00 | Gap=0.2381 | Hamming=2 | Exact=0
K=2, n=100, m=200, rep=7 | Opt=28.00 | Pred=28.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=2, n=100, m=200, rep=8 | Opt=47.00 | Pred=47.00 | Gap=0.0000 | Hamming=4 | Exact=0
K=2, n=100, m=200, rep=9 | Opt=33.00 | Pred=27.00 | Gap=0.1818 | Hamming=2 | Exact=0
K=2, n=100, m=200, rep=10 | Opt=26.00 | Pred=26.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=2, n=100, m=200, rep=11 | Opt=48.00 | Pred=45.00 | Gap=0.0625 | Hamming=2 | Exact=0
K=2, n=100, m=200, rep=12 | Opt=45.00 | Pred=37.00 | Gap=0.1778 | Hamming=4 | Exact=0
K=2, n=100, m=200, rep=13 | Opt=46.00 | Pred=44.00 | Gap=0.0435 | Hamming=2 | Exact=0
K=2, n=100, m=200, rep=14 | Opt=33.00 | Pred=31.00 | Gap=0.0606 | Hamming=2 | Exact=0
K=2, n=100, m=200, rep=15 | Opt=61.00 | Pred=52.00 | Gap=0.1475 | Hamming=2 | Exact=0
K=2, n=100, m=200, rep=16 | Opt=24.00 | Pred=19.00 | Gap=0.2083 | Hamming=4 | Exact=0
K=2, n=100, m=200, rep=17 | Opt=5.00 | Pred=5.00 | Gap=0.0000 | Hamming=2 | Exact=0
K=2, n=100, m=200, rep=18 | Opt=18.00 | Pred=17.00 | Gap=0.0556 | Hamming=2 | Exact=0
K=2, n=100, m=200, rep=19 | Opt=49.00 | Pred=37.00 | Gap=0.2449 | Hamming=4 | Exact=0
K=2, n=100, m=250, rep=0 | Opt=13.00 | Pred=13.00 | Gap=0.0000 | Hamming=2 | Exact=0
K=2, n=100, m=250, rep=1 | Opt=35.00 | Pred=31.00 | Gap=0.1143 | Hamming=2 | Exact=0
K=2, n=100, m=250, rep=2 | Opt=26.00 | Pred=22.00 | Gap=0.1538 | Hamming=2 | Exact=0
K=2, n=100, m=250, rep=3 | Opt=29.00 | Pred=29.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=2, n=100, m=250, rep=4 | Opt=38.00 | Pred=31.00 | Gap=0.1842 | Hamming=2 | Exact=0
K=2, n=100, m=250, rep=5 | Opt=30.00 | Pred=26.00 | Gap=0.1333 | Hamming=2 | Exact=0
K=2, n=100, m=250, rep=6 | Opt=19.00 | Pred=19.00 | Gap=0.0000 | Hamming=2 | Exact=0
K=2, n=100, m=250, rep=7 | Opt=14.00 | Pred=8.00 | Gap=0.4286 | Hamming=2 | Exact=0
K=2, n=100, m=250, rep=8 | Opt=25.00 | Pred=23.00 | Gap=0.0800 | Hamming=4 | Exact=0
K=2, n=100, m=250, rep=9 | Opt=33.00 | Pred=27.00 | Gap=0.1818 | Hamming=4 | Exact=0
K=2, n=100, m=250, rep=10 | Opt=28.00 | Pred=24.00 | Gap=0.1429 | Hamming=2 | Exact=0
K=2, n=100, m=250, rep=11 | Opt=17.00 | Pred=9.00 | Gap=0.4706 | Hamming=4 | Exact=0
K=2, n=100, m=250, rep=12 | Opt=39.00 | Pred=38.00 | Gap=0.0256 | Hamming=2 | Exact=0
K=2, n=100, m=250, rep=13 | Opt=33.00 | Pred=30.00 | Gap=0.0909 | Hamming=2 | Exact=0
K=2, n=100, m=250, rep=14 | Opt=51.00 | Pred=51.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=2, n=100, m=250, rep=15 | Opt=31.00 | Pred=31.00 | Gap=0.0000 | Hamming=2 | Exact=0
K=2, n=100, m=250, rep=16 | Opt=23.00 | Pred=17.00 | Gap=0.2609 | Hamming=4 | Exact=0
K=2, n=100, m=250, rep=17 | Opt=50.00 | Pred=34.00 | Gap=0.3200 | Hamming=4 | Exact=0
K=2, n=100, m=250, rep=18 | Opt=39.00 | Pred=31.00 | Gap=0.2051 | Hamming=4 | Exact=0
K=2, n=100, m=250, rep=19 | Opt=39.00 | Pred=31.00 | Gap=0.2051 | Hamming=2 | Exact=0
K=2, n=100, m=300, rep=0 | Opt=23.00 | Pred=23.00 | Gap=0.0000 | Hamming=2 | Exact=0
K=2, n=100, m=300, rep=1 | Opt=30.00 | Pred=24.00 | Gap=0.2000 | Hamming=2 | Exact=0
K=2, n=100, m=300, rep=2 | Opt=33.00 | Pred=31.00 | Gap=0.0606 | Hamming=2 | Exact=0
K=2, n=100, m=300, rep=3 | Opt=21.00 | Pred=15.00 | Gap=0.2857 | Hamming=4 | Exact=0
K=2, n=100, m=300, rep=4 | Opt=58.00 | Pred=49.00 | Gap=0.1552 | Hamming=2 | Exact=0
K=2, n=100, m=300, rep=5 | Opt=25.00 | Pred=17.00 | Gap=0.3200 | Hamming=2 | Exact=0
K=2, n=100, m=300, rep=6 | Opt=20.00 | Pred=20.00 | Gap=0.0000 | Hamming=4 | Exact=0
K=2, n=100, m=300, rep=7 | Opt=29.00 | Pred=20.00 | Gap=0.3103 | Hamming=2 | Exact=0
K=2, n=100, m=300, rep=8 | Opt=20.00 | Pred=17.00 | Gap=0.1500 | Hamming=2 | Exact=0
K=2, n=100, m=300, rep=9 | Opt=44.00 | Pred=44.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=2, n=100, m=300, rep=10 | Opt=26.00 | Pred=21.00 | Gap=0.1923 | Hamming=2 | Exact=0
K=2, n=100, m=300, rep=11 | Opt=33.00 | Pred=33.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=2, n=100, m=300, rep=12 | Opt=28.00 | Pred=20.00 | Gap=0.2857 | Hamming=4 | Exact=0
K=2, n=100, m=300, rep=13 | Opt=57.00 | Pred=47.00 | Gap=0.1754 | Hamming=4 | Exact=0
K=2, n=100, m=300, rep=14 | Opt=19.00 | Pred=18.00 | Gap=0.0526 | Hamming=2 | Exact=0
K=2, n=100, m=300, rep=15 | Opt=17.00 | Pred=17.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=2, n=100, m=300, rep=16 | Opt=34.00 | Pred=25.00 | Gap=0.2647 | Hamming=2 | Exact=0
K=2, n=100, m=300, rep=17 | Opt=27.00 | Pred=19.00 | Gap=0.2963 | Hamming=4 | Exact=0
K=2, n=100, m=300, rep=18 | Opt=23.00 | Pred=12.00 | Gap=0.4783 | Hamming=4 | Exact=0
K=2, n=100, m=300, rep=19 | Opt=20.00 | Pred=19.00 | Gap=0.0500 | Hamming=2 | Exact=0
K=2, n=100, m=400, rep=0 | Opt=24.00 | Pred=18.00 | Gap=0.2500 | Hamming=4 | Exact=0
K=2, n=100, m=400, rep=1 | Opt=19.00 | Pred=19.00 | Gap=0.0000 | Hamming=2 | Exact=0
K=2, n=100, m=400, rep=2 | Opt=23.00 | Pred=18.00 | Gap=0.2174 | Hamming=4 | Exact=0
K=2, n=100, m=400, rep=3 | Opt=18.00 | Pred=18.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=2, n=100, m=400, rep=4 | Opt=20.00 | Pred=17.00 | Gap=0.1500 | Hamming=2 | Exact=0
K=2, n=100, m=400, rep=5 | Opt=34.00 | Pred=29.00 | Gap=0.1471 | Hamming=2 | Exact=0
K=2, n=100, m=400, rep=6 | Opt=26.00 | Pred=20.00 | Gap=0.2308 | Hamming=4 | Exact=0
K=2, n=100, m=400, rep=7 | Opt=22.00 | Pred=21.00 | Gap=0.0455 | Hamming=2 | Exact=0
K=2, n=100, m=400, rep=8 | Opt=29.00 | Pred=24.00 | Gap=0.1724 | Hamming=2 | Exact=0
K=2, n=100, m=400, rep=9 | Opt=19.00 | Pred=11.00 | Gap=0.4211 | Hamming=4 | Exact=0
K=2, n=100, m=400, rep=10 | Opt=41.00 | Pred=36.00 | Gap=0.1220 | Hamming=2 | Exact=0
K=2, n=100, m=400, rep=11 | Opt=12.00 | Pred=8.00 | Gap=0.3333 | Hamming=2 | Exact=0
K=2, n=100, m=400, rep=12 | Opt=20.00 | Pred=19.00 | Gap=0.0500 | Hamming=2 | Exact=0
K=2, n=100, m=400, rep=13 | Opt=21.00 | Pred=21.00 | Gap=0.0000 | Hamming=2 | Exact=0
K=2, n=100, m=400, rep=14 | Opt=24.00 | Pred=19.00 | Gap=0.2083 | Hamming=4 | Exact=0
K=2, n=100, m=400, rep=15 | Opt=21.00 | Pred=19.00 | Gap=0.0952 | Hamming=2 | Exact=0
K=2, n=100, m=400, rep=16 | Opt=23.00 | Pred=22.00 | Gap=0.0435 | Hamming=2 | Exact=0
K=2, n=100, m=400, rep=17 | Opt=25.00 | Pred=20.00 | Gap=0.2000 | Hamming=2 | Exact=0
K=2, n=100, m=400, rep=18 | Opt=29.00 | Pred=29.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=2, n=100, m=400, rep=19 | Opt=26.00 | Pred=23.00 | Gap=0.1154 | Hamming=2 | Exact=0
K=2, n=100, m=500, rep=0 | Opt=18.00 | Pred=17.00 | Gap=0.0556 | Hamming=4 | Exact=0
K=2, n=100, m=500, rep=1 | Opt=18.00 | Pred=17.00 | Gap=0.0556 | Hamming=4 | Exact=0
K=2, n=100, m=500, rep=2 | Opt=13.00 | Pred=13.00 | Gap=0.0000 | Hamming=2 | Exact=0
K=2, n=100, m=500, rep=3 | Opt=18.00 | Pred=16.00 | Gap=0.1111 | Hamming=4 | Exact=0
K=2, n=100, m=500, rep=4 | Opt=15.00 | Pred=14.00 | Gap=0.0667 | Hamming=2 | Exact=0
K=2, n=100, m=500, rep=5 | Opt=23.00 | Pred=21.00 | Gap=0.0870 | Hamming=2 | Exact=0
K=2, n=100, m=500, rep=6 | Opt=14.00 | Pred=12.00 | Gap=0.1429 | Hamming=2 | Exact=0
K=2, n=100, m=500, rep=7 | Opt=19.00 | Pred=17.00 | Gap=0.1053 | Hamming=2 | Exact=0
K=2, n=100, m=500, rep=8 | Opt=20.00 | Pred=20.00 | Gap=0.0000 | Hamming=2 | Exact=0
K=2, n=100, m=500, rep=9 | Opt=19.00 | Pred=16.00 | Gap=0.1579 | Hamming=2 | Exact=0
K=2, n=100, m=500, rep=10 | Opt=26.00 | Pred=26.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=2, n=100, m=500, rep=11 | Opt=11.00 | Pred=10.00 | Gap=0.0909 | Hamming=2 | Exact=0
K=2, n=100, m=500, rep=12 | Opt=13.00 | Pred=10.00 | Gap=0.2308 | Hamming=2 | Exact=0
K=2, n=100, m=500, rep=13 | Opt=15.00 | Pred=15.00 | Gap=0.0000 | Hamming=2 | Exact=0
K=2, n=100, m=500, rep=14 | Opt=14.00 | Pred=14.00 | Gap=0.0000 | Hamming=1 | Exact=0
K=2, n=100, m=500, rep=15 | Opt=13.00 | Pred=11.00 | Gap=0.1538 | Hamming=4 | Exact=0
K=2, n=100, m=500, rep=16 | Opt=19.00 | Pred=16.00 | Gap=0.1579 | Hamming=4 | Exact=0
K=2, n=100, m=500, rep=17 | Opt=14.00 | Pred=14.00 | Gap=0.0000 | Hamming=1 | Exact=0
K=2, n=100, m=500, rep=18 | Opt=26.00 | Pred=26.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=2, n=100, m=500, rep=19 | Opt=13.00 | Pred=6.00 | Gap=0.5385 | Hamming=3 | Exact=0
K=2, n=100, m=600, rep=0 | Opt=14.00 | Pred=9.00 | Gap=0.3571 | Hamming=4 | Exact=0
K=2, n=100, m=600, rep=1 | Opt=21.00 | Pred=15.00 | Gap=0.2857 | Hamming=4 | Exact=0
K=2, n=100, m=600, rep=2 | Opt=9.00 | Pred=9.00 | Gap=0.0000 | Hamming=1 | Exact=0
K=2, n=100, m=600, rep=3 | Opt=24.00 | Pred=23.00 | Gap=0.0417 | Hamming=2 | Exact=0
K=2, n=100, m=600, rep=4 | Opt=19.00 | Pred=18.00 | Gap=0.0526 | Hamming=2 | Exact=0
K=2, n=100, m=600, rep=5 | Opt=15.00 | Pred=15.00 | Gap=0.0000 | Hamming=2 | Exact=0
K=2, n=100, m=600, rep=6 | Opt=18.00 | Pred=15.00 | Gap=0.1667 | Hamming=2 | Exact=0
K=2, n=100, m=600, rep=7 | Opt=15.00 | Pred=14.00 | Gap=0.0667 | Hamming=4 | Exact=0
K=2, n=100, m=600, rep=8 | Opt=19.00 | Pred=14.00 | Gap=0.2632 | Hamming=2 | Exact=0
K=2, n=100, m=600, rep=9 | Opt=15.00 | Pred=11.00 | Gap=0.2667 | Hamming=2 | Exact=0
K=2, n=100, m=600, rep=10 | Opt=10.00 | Pred=9.00 | Gap=0.1000 | Hamming=2 | Exact=0
K=2, n=100, m=600, rep=11 | Opt=4.00 | Pred=4.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=2, n=100, m=600, rep=12 | Opt=15.00 | Pred=15.00 | Gap=0.0000 | Hamming=2 | Exact=0
K=2, n=100, m=600, rep=13 | Opt=20.00 | Pred=19.00 | Gap=0.0500 | Hamming=2 | Exact=0
K=2, n=100, m=600, rep=14 | Opt=15.00 | Pred=13.00 | Gap=0.1333 | Hamming=2 | Exact=0
K=2, n=100, m=600, rep=15 | Opt=22.00 | Pred=22.00 | Gap=0.0000 | Hamming=2 | Exact=0
K=2, n=100, m=600, rep=16 | Opt=14.00 | Pred=14.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=2, n=100, m=600, rep=17 | Opt=18.00 | Pred=18.00 | Gap=0.0000 | Hamming=2 | Exact=0
K=2, n=100, m=600, rep=18 | Opt=19.00 | Pred=18.00 | Gap=0.0526 | Hamming=4 | Exact=0
K=2, n=100, m=600, rep=19 | Opt=18.00 | Pred=12.00 | Gap=0.3333 | Hamming=2 | Exact=0
K=2, n=100, m=800, rep=0 | Opt=8.00 | Pred=8.00 | Gap=0.0000 | Hamming=1 | Exact=0
K=2, n=100, m=800, rep=1 | Opt=9.00 | Pred=8.00 | Gap=0.1111 | Hamming=2 | Exact=0
K=2, n=100, m=800, rep=2 | Opt=12.00 | Pred=10.00 | Gap=0.1667 | Hamming=4 | Exact=0
K=2, n=100, m=800, rep=3 | Opt=14.00 | Pred=14.00 | Gap=0.0000 | Hamming=1 | Exact=0
K=2, n=100, m=800, rep=4 | Opt=10.00 | Pred=10.00 | Gap=0.0000 | Hamming=2 | Exact=0
K=2, n=100, m=800, rep=5 | Opt=8.00 | Pred=5.00 | Gap=0.3750 | Hamming=3 | Exact=0
K=2, n=100, m=800, rep=6 | Opt=17.00 | Pred=16.00 | Gap=0.0588 | Hamming=4 | Exact=0
