node,lat,lon,supply
336,33.5986,-86.6548,0
337,43.4883,-89.4932,0
338,33.6329,-84.4008,0
339,33.2603,-117.4281,0
340,33.6445,-117.7347,0
341,33.674,-84.3261,0
342,33.4275,-112.6256,0
343,33.7147,-84.2412,0
344,33.7449,-84.39,0
345,33.7645,-84.4928,0
346,33.7841,-118.0914,0
347,33.7962,-84.3934,0
348,33.8265,-118.2074,0
349,33.8569,-118.2846,0
350,33.8902,-84.4607,0
351,33.8917,-84.2592,0
352,33.8976,-98.4934,0
353,33.898,-98.4926,0
354,33.9099,-98.5023,0
355,33.9126,-118.18,0
356,33.9139,-118.1047,0
357,33.9285,-118.2806,0
358,33.9293,-81.0721,0
359,33.9299,-118.3683,0
360,33.9412,-118.0965,0
361,33.9413,-98.5207,0
362,33.3428,-87.0276,0
363,34.0163,-118.1725,0
364,34.0312,-118.4334,0
365,34.0366,-81.1106,0
366,34.0367,-81.1107,0
367,34.0381,-118.2739,0
368,34.0552,-118.214,0
369,34.0611,-118.165,0
370,34.065,-118.0,0
371,34.0674,-117.5447,0
372,34.0651,-117.8064,0
373,34.0677,-80.9221,0
374,34.0641,-117.2964,0
375,34.133,-78.0964,0
376,34.1341,-117.9572,0
377,34.1609,-118.4694,0
378,34.1915,-77.9343,0
379,34.1931,-79.8439,0
380,34.2253,-117.4097,0
381,34.2265,-78.0112,0
382,34.2295,-77.9574,0
383,34.2311,-77.9604,0
384,34.234,-77.959,0
385,34.2916,-118.46799999999999,0
386,34.3124,-78.2102,0
387,34.3166,-118.4906,0
388,34.3186,-77.8718,0
389,34.3305,-118.5061,0
390,34.3399,-78.8081,0
391,34.3998,-117.4012,0
392,34.5134,-81.8703,0
393,34.5392,-77.5034,0
394,34.5931,-79.1112,0
395,34.6278,-86.9014,0
396,34.7075,-92.271,0
397,34.7081,-92.27799999999999,0
398,34.7132,-92.2704,0
399,34.733000000000004,-92.2621,0
400,34.7358,-76.7953,0
401,34.705,-77.4799,0
402,34.7396,-77.4517,0
403,34.7447,-77.411,0
404,34.7485,-92.3914,0
405,34.7489,-82.2821,0
406,34.7552,-82.2885,0
407,34.758,-79.4818,0
408,34.7679,-82.2752,0
409,34.7739,-92.2612,0
410,34.7783,-92.2541,0
411,34.7784,-92.2611,0
412,34.7815,-92.1615,0
413,34.7898,-82.439,0
414,34.8213,-92.3397,0
415,39.2785,-80.2842,0
416,34.833,-82.2969,0
417,34.8642,-118.1716,0
418,34.8792,-89.7253,0
419,34.8861,-117.0097,0
420,39.0961,-94.5913,0
421,34.9083,-116.9683,0
422,34.6618,-92.4024,0
423,34.9177,-78.0245,0
424,34.971,-85.4441,0
425,34.9766,-104.9911,0
426,34.9768,-78.85600000000001,0
427,34.978,-82.0119,0
428,34.9924,-117.5416,0
429,34.9935,-78.1341,0
430,35.0053,-85.2086,0
431,35.0119,-117.9155,0
432,35.012,-89.6438,0
433,35.012,-89.6438,0
434,35.0185,-118.9554,0
435,35.0224,-101.9183,0
436,35.04,-85.6906,0
437,35.0427,-78.8033,0
438,35.0729,-90.02799999999999,0
439,35.0722,-90.0257,0
440,35.077,-78.9598,0
441,35.0937,-77.0398,0
442,35.0984,-118.1442,0
443,35.0802,-89.9554,0
444,35.1018,-89.8701,0
445,35.1062,-106.6292,0
446,35.1104,-80.689,0
447,35.1255,-80.9172,0
448,35.1321,-77.1515,0
449,35.1508,-90.0221,0
450,35.1513,-89.8849,0
451,35.1522,-84.9475,0
452,35.1559,-90.1519,0
453,35.1591,-113.6964,0
454,35.135999999999996,-78.9932,0
455,35.171,-90.1933,0
456,35.1716,-111.6622,0
457,35.1909,-114.06700000000001,0
458,42.6569,-105.2035,0
459,35.193000000000005,-101.8371,0
460,35.1933,-101.6939,0
461,35.2139,-80.9685,0
462,35.2561,-89.6768,0
463,35.2489,-80.9686,0
464,35.2726,-80.8467,0
465,35.3483,-80.7333,0
466,35.3526,-119.0393,0
467,35.3637,-80.8419,0
468,35.3897,-78.518,0
469,35.3917,-97.495,0
470,35.3961,-97.5743,0
471,35.4015,-97.2855,0
472,35.4273,-77.9916,0
473,35.4554,-94.3209,0
474,35.4583,-95.5438,0
475,35.4601,-97.5751,0
476,35.4623,-97.4929,0
477,35.391999999999996,-90.2734,0
478,35.4665,-97.4673,0
479,35.4832,-94.242,0
480,35.516,-78.2965,0
481,35.5206,-105.25,0
482,35.5295,-97.514,0
483,35.5303,-108.7596,0
484,35.5418,-97.4587,0
485,35.5545,-82.6116,0
486,41.2529,-81.5861,0
487,35.6002,-97.4292,0
488,35.602,-119.211,0
489,35.6163,-119.65299999999999,0
490,35.6366,-78.5661,0
491,35.6425,-120.685,0
492,35.6566,-80.461,0
493,35.7343,-78.0115,0
494,35.7549,-78.5991,0
495,35.7664,-78.7357,0
496,35.782,-78.5734,0
497,35.8097,-80.861,0
498,35.8217,-86.8385,0
499,35.8702,-84.2525,0
500,35.8727,-78.8308,0
501,35.8843,-86.4763,0
502,35.9287,-79.9248,0
503,35.9563,-83.97200000000001,0
504,35.968,-83.9298,0
505,36.0002,-83.9583,0
506,36.0027,-79.8274,0
507,36.0057,-79.8504,0
508,36.0135,-83.8592,0
509,36.0213,-87.2651,0
510,36.0335,-115.0141,0
511,36.0595,-79.686,0
512,36.0606,-79.1333,0
513,36.0638,-115.1806,0
514,36.065,-80.1869,0
515,36.0657,-79.9193,0
516,36.0672,-83.3882,0
517,36.116,-86.7732,0
518,36.1267,-86.7283,0
519,36.1406,-86.73200000000001,0
520,36.1483,-86.77799999999999,0
521,36.1539,-86.7582,0
522,36.1573,-86.8231,0
523,36.1718,-86.7996,0
524,36.1743,-115.1547,0
525,36.1836,-86.3521,0
526,36.1947,-86.7755,0
527,36.2203,-86.7741,0
528,36.7026,-77.5494,0
529,36.7026,-87.4549,0
530,36.7133,-78.1132,0
531,36.7528,-76.5196,0
532,36.7632,-76.2681,0
533,36.766999999999996,-76.6034,0
534,36.7858,-76.4164,0
535,36.7911,-76.3935,0
536,42.9622,-87.9364,0
537,36.8347,-76.2881,0
538,36.8444,-76.1966,0
539,36.8448,-76.2676,0
540,36.8522,-76.3248,0
541,36.8671,-76.4326,0
542,36.8736,-89.5332,0
543,36.8748,-76.1975,0
544,36.9181,-76.2692,0
545,36.948,-80.9207,0
546,36.9606,-81.0646,0
547,37.0317,-76.3764,0
548,37.0613,-94.4271,0
549,37.0817,-94.3125,0
550,37.1078,-92.0839,0
551,37.1637,-77.3498,0
552,37.1863,-77.4908,0
553,37.1928,-77.3282,0
554,37.2132,-77.3768,0
555,37.2191,-77.39,0
556,37.3397,-121.8519,0
557,37.3173,-121.9403,0
558,37.3406,-79.9977,0
559,37.3642,-121.9018,0
